Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Dilawara","The PropheC","Dilawara","Sad🥺❤️","Playlist","UKD572301901","1C6auFaK08OhOTJ8bfrAiG"
"Nakhre","Talwiinder","Nakhre","Sad🥺❤️","Playlist","TCAJR2528347","51N7Qkc3NnQ4ZqhjWgDYEy"
"Ishq Bawla | Coke Studio Bharat","Dhanda Nyoliwala","Ishq Bawla | Coke Studio Bharat","Sad🥺❤️","Playlist","INUM72500618","7ipocikxlJX318tXE4S5nE"
"Galliyan Returns (From ""Ek Villain Returns"")","Ankit Tiwari","Galliyan Returns (From ""Ek Villain Returns"")","Sad🥺❤️","Playlist","INS182201795","2eTkxblLeqdTSsb2ivafDX"
"Baaton Ko Teri","Arijit Singh","All Is Well","Sad🥺❤️","Playlist","INS181501065","23CkVQ84EestqfkEy4fhOQ"
"With You","AP Dhillon","With You","Sad🥺❤️","Playlist","QMDA62306899","0xIuPDzJSnJywALez8dwKR"
"Desi Kalakaar","Yo Yo Honey Singh","Desi Kalakaar","Sad🥺❤️","Playlist","INS181402052","7m4CgL81VVIHaaiSxyH922"
"Aashiq Banaya Aapne","Himesh Reshammiya","Aashiq Banaya Aapne","Sad🥺❤️","Playlist","INS180500072","61mkuGe4SjLAZ5wg49NWQY"
"Sankatmochan Hanuman Ashtak","Hariharan","Shree Hanuman Chalisa (Hanuman Ashtak)","Sad🥺❤️","Playlist","INS189210630","3ZF9iTthw2m6w8MsNC0daD"
"Aasman Ko Chukar","Daler Mehndi","Hanuman Returns","Sad🥺❤️","Playlist","INS180707609","5aa4zMfrJ16iDnS6UIKtlL"
"Dhun (From ""Saiyaara"")","Mithoon","Dhun (From ""Saiyaara"")","Sad🥺❤️","Playlist","INY092500018","1GFQthxDi4Tqe3wJ5j0G5S"
"Saiyaara (From ""Saiyaara"")","Tanishk Bagchi","Saiyaara (From ""Saiyaara"")","Sad🥺❤️","Playlist","INY092500014","1D35BJlymlh6OLD75WupSF"
"Maand x Jhol Reimagined","Vipin Soni","Maand x Jhol Reimagined","Sad🥺❤️","Playlist","QZPJ32511034","7tIZsz8TS01wYvh83W4hI8"
